big_area,mid_area,sml_area,place_code
北海道地方,道北,旭川,1/1/47407
北海道地方,道北,稚内,1/1/47401
北海道地方,道北,北見枝幸,1/1/47402
北海道地方,道北,羽幌,1/1/47404
北海道地方,道北,留萌,1/1/47406
北海道地方,道東,釧路,1/3/47418
北海道地方,道東,根室,1/3/47420
北海道地方,道東,網走,1/3/47409
北海道地方,道東,雄武,1/3/47405
北海道地方,道東,帯広,1/3/47417
北海道地方,道東,紋別,1/3/47435
北海道地方,道東,広尾,1/3/47440
北海道地方,道央,札幌,1/2/47412
北海道地方,道央,岩見沢,1/2/47413
北海道地方,道央,小樽,1/2/47411
北海道地方,道央,寿都,1/2/47421
北海道地方,道央,倶知安,1/2/47433
北海道地方,道南,函館,1/4/47430
北海道地方,道南,浦河,1/4/47426
北海道地方,道南,苫小牧,1/4/47424
北海道地方,道南,室蘭,1/4/47423
北海道地方,道南,江差,1/4/47428
東北地方,青森県,青森,2/5/47575
東北地方,青森県,八戸,2/5/47581
東北地方,青森県,深浦,2/5/47574
東北地方,青森県,むつ,2/5/47576
東北地方,岩手県,盛岡,2/6/47584
東北地方,岩手県,宮古,2/6/47585
東北地方,岩手県,大船渡,2/6/47512
東北地方,宮城県,仙台,2/7/47590
東北地方,宮城県,石巻,2/7/47592
東北地方,秋田県,秋田,2/8/47582
東北地方,山形県,山形,2/9/47588
東北地方,山形県,酒田,2/9/47587
東北地方,山形県,新庄,2/9/47520
東北地方,福島県,福島,2/10/47595
東北地方,福島県,小名浜,2/10/47598
東北地方,福島県,若松,2/10/47570
東北地方,福島県,白河,2/10/47597
関東・甲信地方,東京都,東京都心,3/16/47662
関東・甲信地方,東京都,大島,3/16/47675
関東・甲信地方,東京都,三宅島,3/16/47677
関東・甲信地方,東京都,八丈島,3/16/47678
関東・甲信地方,東京都,父島,3/16/47971
関東・甲信地方,東京都,南鳥島,3/16/47991
関東・甲信地方,神奈川県,横浜,3/17/47670
関東・甲信地方,埼玉県,熊谷,3/14/47626
関東・甲信地方,埼玉県,秩父,3/14/47641
関東・甲信地方,千葉県,千葉,3/15/47682
関東・甲信地方,千葉県,銚子,3/15/47648
関東・甲信地方,千葉県,館山,3/15/47672
関東・甲信地方,千葉県,勝浦,3/15/47674
関東・甲信地方,茨城県,水戸,3/11/47629
関東・甲信地方,栃木県,宇都宮,3/12/47615
関東・甲信地方,栃木県,日光,3/12/47690
関東・甲信地方,群馬県,前橋,3/13/47624
関東・甲信地方,山梨県,甲府,3/22/47638
関東・甲信地方,山梨県,河口湖,3/22/47640
関東・甲信地方,長野県,長野,3/23/47610
関東・甲信地方,長野県,松本,3/23/47618
関東・甲信地方,長野県,諏訪,3/23/47620
関東・甲信地方,長野県,飯田,3/23/47637
関東・甲信地方,長野県,軽井沢,3/23/47622
北陸地方,新潟県,新潟,4/18/47604
北陸地方,新潟県,高田,4/18/47612
